hip1x,hip1y,hip1z,hip2x,hip2y,hip2z,hip3x,hip3y,hip3z,lkneex,lkneey,lkneez,lankx,lanky,lankz,rkneex,rkneey,rkneez,rankx,ranky,rankz
4.810181,1335.552856,901.780334,-200.897491,1305.731812,894.649963,-161.002167,1115.957764,872.21698,-165.307526,1141.138672,526.226196,-171.501709,1257.734619,219.436493,77.818115,1052.739136,585.183472,91.036201,1156.220337,279.620026
5.126426,1328.961792,901.561096,-200.654037,1299.500854,894.352661,-161.160385,1109.662109,871.756897,-165.050308,1137.126831,525.625183,-171.30658,1256.311401,219.564972,77.077652,1044.037231,586.675537,91.766037,1139.479126,277.954376
5.48159,1322.387939,901.311462,-200.366974,1293.259766,894.053345,-161.251221,1103.367554,871.262512,-164.802216,1133.121704,525.020569,-171.091858,1254.905762,219.72258,76.410271,1035.678833,587.940125,92.482651,1122.919434,276.329742
5.876552,1315.822144,901.028748,-200.036148,1287.000488,893.7547,-161.27356,1097.066895,870.734558,-164.556168,1129.131714,524.412781,-170.859665,1253.518433,219.911636,75.825455,1027.661865,588.961914,93.173187,1106.578735,274.759186
6.312266,1309.255737,900.709778,-199.661377,1280.714722,893.459473,-161.225677,1090.751343,870.174255,-164.302094,1125.161743,523.803528,-170.61348,1252.148438,220.134216,75.330276,1019.980652,589.728027,93.824791,1090.495117,273.251221
6.789854,1302.679565,900.351135,-199.24202,1274.393921,893.169495,-161.105438,1084.412598,869.582092,-164.028992,1121.213257,523.195374,-170.358154,1250.791382,220.392395,74.929459,1012.62677,590.22821,94.424973,1074.706665,271.810303
7.310687,1296.084106,899.949097,-198.777191,1268.028931,892.886292,-160.91069,1078.04187,868.958923,-163.726852,1117.282349,522.591614,-170.099609,1249.441528,220.688278,74.625336,1005.588196,590.45459,94.962036,1059.250977,270.43631
7.876433,1289.459961,899.500244,-198.265381,1261.611206,892.610718,-160.639206,1071.630859,868.305359,-163.388504,1113.362183,521.995422,-169.844727,1248.090088,221.024124,74.418007,998.849976,590.4021,95.425407,1044.164307,269.125122
8.489086,1282.796997,899.00116,-197.704681,1255.132324,892.343201,-160.289032,1065.170166,867.622192,-163.010849,1109.442383,521.409729,-169.600906,1246.727173,221.402161,74.305458,992.394165,590.068848,95.805878,1029.481812,267.868683
9.150931,1276.085327,898.449158,-197.092728,1248.583374,892.083984,-159.858597,1058.651245,866.910339,-162.595291,1105.509888,520.836243,-169.375641,1245.341797,221.824615,74.28376,986.199829,589.455566,96.095963,1015.235779,266.65567
9.864497,1269.314819,897.842102,-196.426697,1241.956177,891.832642,-159.346741,1052.064941,866.170776,-162.147247,1101.549194,520.275635,-169.176224,1243.921265,222.29335,74.34729,980.243103,588.566284,96.290123,1001.455994,265.472168
10.632457,1262.474976,897.17865,-195.703537,1235.242676,891.588501,-158.752899,1045.4021,865.404785,-161.675018,1097.542358,519.72821,-169.009232,1242.453125,222.809784,74.488953,974.496948,587.408508,96.385017,988.169128,264.302551
11.457523,1255.55603,896.458801,-194.92012,1228.434814,891.350708,-158.077103,1038.653687,864.613953,-161.188095,1093.46936,519.193787,-168.880341,1240.924194,223.374619,74.700493,968.931885,585.992981,96.379723,975.397766,263.130341
12.342309,1248.547485,895.683533,-194.07341,1221.524658,891.118286,-157.320007,1031.810913,863.799805,-160.695648,1089.308594,518.672241,-168.793991,1239.322144,223.987732,74.972641,963.515808,584.334656,96.275909,963.160278,261.939209
13.2892,1241.439331,894.855286,-193.160568,1214.504883,890.889954,-156.483017,1024.864258,862.964539,-160.205185,1085.038574,518.163513,-168.753113,1237.634644,224.648148,75.295593,958.213928,582.451843,96.077995,951.470703,260.713806
14.300238,1234.222168,893.977905,-192.179184,1207.36792,890.664429,-155.568207,1017.805481,862.110413,-159.721878,1080.639038,517.667297,-168.759155,1235.850464,225.354187,75.659271,952.989502,580.366699,95.792999,940.338196,259.440796
15.377003,1226.886475,893.056458,-191.127457,1200.106812,890.440674,-154.578415,1010.625488,861.240662,-159.248291,1076.092407,517.183533,-168.811752,1233.95874,226.10376,76.053871,947.803955,578.104858,95.430527,929.766785,258.109406
16.520525,1219.423584,892.097656,-190.004211,1192.715454,890.217407,-153.517197,1003.316406,860.358704,-158.784836,1071.383179,516.71167,-168.908859,1231.949951,226.89476,76.470306,942.617249,575.695068,95.002342,919.755554,256.712158
17.731192,1211.825073,891.109375,-188.809113,1185.187988,889.993713,-152.388931,995.871033,859.469177,-158.330322,1066.497803,516.250488,-169.04657,1229.815186,227.725494,76.900757,937.388245,573.168823,94.522186,910.29834,255.245865
19.00869,1204.083862,890.100769,-187.542648,1177.519775,889.768921,-151.198608,988.282654,858.577271,-157.882523,1061.424316,515.798767,-169.21933,1227.545898,228.594788,77.339188,932.076172,570.559387,94.005302,901.383545,253.711761
20.351933,1196.19458,889.082336,-186.206345,1169.70752,889.542358,-149.951996,980.546143,857.689514,-157.438843,1056.14978,515.353882,-169.420364,1225.132813,229.502502,77.781769,926.64093,567.901611,93.468224,892.995117,252.116028
21.759012,1188.1521,888.065308,-184.802689,1161.749268,889.313843,-148.655258,972.657593,856.813477,-156.996307,1050.660767,514.912598,-169.642166,1222.565674,230.449661,78.227287,921.044495,565.23114,92.928528,885.112366,250.469528
23.227177,1179.954224,887.062134,-183.33522,1153.644409,889.083435,-147.315033,964.615234,855.958191,-156.55188,1044.94104,514.471375,-169.877167,1219.830933,231.438797,78.677414,915.251953,562.583496,92.404442,877.710938,248.787689
24.752817,1171.599976,886.085571,-181.808487,1145.394653,888.85144,-145.938095,956.419128,855.133484,-156.102463,1038.971313,514.026245,-170.1185,1216.911499,232.474319,79.136749,909.233337,559.994202,91.914459,870.763672,247.089386
26.331482,1163.091797,885.148926,-180.228012,1137.00415,888.618835,-144.531219,948.072021,854.350525,-155.645111,1032.727173,513.574158,-170.360474,1213.784302,233.562546,79.612877,902.963928,557.497375,91.476845,864.24115,245.396072
27.957928,1154.433228,884.265869,-178.600174,1128.478638,888.386475,-143.100967,939.579163,853.621643,-155.177261,1026.177246,513.113281,-170.599319,1210.419067,234.711975,80.116051,896.426758,555.125916,91.108894,858.112732,243.730225
29.626175,1145.631958,883.449646,-176.932114,1119.827515,888.156433,-141.653381,930.949219,852.959839,-154.697342,1019.284119,512.643188,-170.833344,1206.776855,235.93306,80.658829,889.612976,552.909973,90.826164,852.347778,242.113602
31.329628,1136.697266,882.713379,-175.2314,1111.062378,887.930603,-140.194077,922.193176,852.378479,-154.205231,1012.000793,512.165894,-171.063187,1202.810303,237.238022,81.255325,882.52301,550.876953,90.641495,846.916199,240.565674
33.06115,1127.642456,882.069092,-173.506027,1102.197388,887.711975,-138.727966,913.325378,851.891052,-153.702866,1004.273438,511.685181,-171.291473,1198.462646,238.640213,81.920219,875.167175,549.050232,90.564194,841.789185,239.101807
34.81321,1118.482666,881.528076,-171.764099,1093.249512,887.503479,-137.259262,904.362732,851.510498,-153.194595,996.04126,511.206635,-171.522522,1193.669434,240.153656,82.667595,867.566101,547.448059,90.599251,836.940918,237.732239
36.577995,1109.23584,881.099731,-170.013672,1084.237183,887.308594,-135.791473,895.324402,851.24884,-152.687256,987.240784,510.737366,-171.761719,1188.361328,241.792068,83.509499,859.750122,546.08313,90.746933,832.348938,236.461121
38.347538,1099.922119,880.791748,-168.262543,1075.18103,887.130554,-134.327484,886.231262,851.11615,-152.19014,977.810059,510.285309,-172.014603,1182.465942,243.567963,84.454445,851.759644,544.961365,91.002594,827.994873,235.287033
40.113846,1090.563232,880.609558,-166.518097,1066.10144,886.972229,-132.869476,877.105103,851.1203,-151.714294,967.694519,509.858978,-172.285965,1175.913086,245.491608,85.506142,843.644104,544.080872,91.357025,823.865662,234.203995
41.868992,1081.181885,880.556152,-164.787262,1057.019775,886.836426,-131.419128,867.968262,851.266357,-151.271713,956.852539,509.466644,-172.578766,1168.638672,247.569916,86.662354,835.460815,543.431335,91.796951,819.953064,233.203125
43.605194,1071.802124,880.631775,-163.076431,1047.956055,886.724487,-129.977478,858.842102,851.556396,-150.873932,945.262024,509.116577,-172.893295,1160.589233,249.805527,87.914543,827.27417,542.994629,92.306038,816.254333,232.274078
45.314816,1062.447754,880.833679,-161.391434,1038.928833,886.637207,-128.54512,849.746826,851.989136,-150.53006,932.923706,508.816833,-173.226181,1151.72522,252.195984,89.248085,819.152405,542.744751,92.866226,812.770813,231.406326
46.990322,1053.142578,881.15625,-159.737839,1029.95459,886.57428,-127.122032,840.700623,852.560242,-150.244858,919.864746,508.576263,-173.570023,1142.024902,254.733292,90.643349,811.165405,542.650574,93.45916,809.507751,230.589859
48.624218,1043.909302,881.591675,-158.121063,1021.046509,886.534424,-125.70752,831.719299,853.26239,-150.016891,906.137878,508.405579,-173.913376,1131.485596,257.403473,92.077324,803.380249,542.677551,94.067413,806.471863,229.815994
50.208874,1034.770264,882.129272,-156.546707,1012.215271,886.515991,-124.300278,822.815796,854.085999,-149.837265,891.819641,508.318481,-174.241379,1120.124146,260.186432,93.525597,795.857666,542.791138,94.675491,803.670471,229.077927
51.736477,1025.74585,882.756714,-155.020828,1003.46814,886.516846,-122.898193,814.000305,855.019775,-149.689819,877.006775,508.332916,-174.536636,1107.976196,263.056183,94.964386,788.64856,542.958496,95.270454,801.108521,228.370865
