hip1x,hip1y,hip1z,hip2x,hip2y,hip2z,hip3x,hip3y,hip3z,hip4x,hip4y,hip4z,lkneex,lkneey,lkneez,lankx,lanky,lankz,rkneex,rkneey,rkneez,rankx,ranky,rankz
214.658661,624.085815,879.199463,8.745088,622.263,895.201294,182.64856,409.45166,877.065613,2.987071,431.804474,867.642761,233.06662,359.478851,457.63208,215.310181,268.897705,122.449181,3.394634,583.736694,433.234375,40.74395,784.636169,102.917114
215.65152,611.305969,878.400085,9.681394,610.239197,894.355408,182.539368,396.697906,876.317139,2.932011,419.710083,866.758484,233.394882,345.852814,457.343109,214.184418,259.54306,119.977898,3.897992,574.498718,432.426636,40.584637,782.012695,106.108742
216.597565,598.168823,877.758545,10.511105,597.952515,893.693237,182.384033,383.477081,875.78302,2.835047,407.134216,866.075623,232.969879,331.53244,456.651672,213.178482,252.349411,116.835159,3.908751,564.371521,432.360535,40.301086,779.007751,109.716362
217.499588,584.500427,877.046448,11.339633,585.230164,893.031738,182.169266,369.77536,875.390869,2.679102,394.199493,865.521851,232.56308,317.343292,455.895844,212.21434,246.841064,113.234795,3.510403,553.279419,432.070068,40.225281,775.236755,113.566536
218.472824,570.393921,876.208191,12.236956,572.161804,892.345825,181.895752,355.618134,875.104736,2.4869,381.05423,864.973755,232.765839,303.815338,455.413452,210.593674,242.030487,109.913116,3.732656,541.617004,431.495544,39.878941,771.396851,117.864365
219.425842,555.979187,875.619507,13.149939,558.875427,891.703491,181.501236,341.225861,875.169128,2.280915,367.662231,864.576416,233.011322,290.545135,454.357208,207.359421,235.592087,107.854004,4.890317,529.41687,430.651794,39.361034,767.051514,122.569244
220.22258,541.70874,875.732849,13.887565,545.399109,891.080444,181.034164,326.864685,875.793884,1.926624,354.141235,864.426208,232.831528,277.970337,454.251587,207.263474,229.001572,106.449829,4.383407,515.519836,430.420685,38.42049,761.845276,127.767609
220.78949,527.730042,877.021545,14.309399,531.929199,890.589355,180.675247,312.773132,877.157104,1.647394,340.614838,864.64563,232.867554,265.531586,455.321503,208.518738,223.017685,106.167519,4.149134,499.57251,429.065277,37.499374,755.203308,133.583862
221.036591,514.041199,879.065491,14.440347,518.472351,890.390808,180.547989,299.033325,879.241089,1.668528,327.218689,865.131531,234.322205,252.72879,457.151703,209.741379,218.866425,104.817673,4.163713,482.521881,428.247253,36.596359,746.867065,139.786667
221.163651,500.519684,881.390076,14.522427,505.135895,890.566223,180.727753,285.410919,881.646851,2.006836,313.903137,865.820557,236.825943,239.741989,459.100189,210.330322,215.722961,103.741035,2.868781,463.374847,427.011993,36.019146,736.779053,145.891342
221.442749,487.063141,883.621033,14.795192,492.030518,890.981018,181.150742,271.812592,883.99408,2.648903,300.870453,866.62677,239.01181,227.3013,460.269745,210.257767,212.540634,103.28833,1.556633,443.788361,425.352203,34.440186,726.64856,153.138626
222.053436,473.674103,885.546875,15.414337,479.232788,891.493103,181.674225,258.318542,886.044678,3.486209,288.219025,867.414307,239.269409,216.324234,459.978149,210.29982,210.037323,102.638885,0.053336,423.224213,423.486664,32.554924,715.578918,160.622513
223.028656,460.322937,887.127136,16.444958,466.832825,891.880066,182.157837,244.992493,887.652954,4.328924,276.057343,868.122681,238.902069,206.88736,459.486633,210.210403,208.332443,101.812653,-1.484642,402.071747,421.506958,31.045313,702.183716,167.995529
224.322617,446.999115,888.50531,17.82342,454.852142,892.140808,182.643921,231.883621,888.9151,5.051722,263.985474,868.915527,238.863953,198.365723,458.916687,209.824677,207.21199,101.427055,-2.777299,380.323273,419.508972,29.374241,687.214417,175.413254
225.819092,433.863678,889.797424,19.43885,443.136383,892.202698,182.963821,219.04689,889.999573,5.641953,252.33638,869.738953,239.089127,190.672455,458.251495,209.434464,206.429962,101.192657,-3.735028,358.037537,417.854004,27.661737,670.778931,182.547562
227.338882,420.999084,891.159058,21.09263,431.580688,892.056885,183.199203,206.448624,890.995056,6.104401,240.880356,870.717224,239.429169,184.042633,457.592285,209.157822,205.84639,100.931107,-4.301952,335.438416,416.724915,25.991934,653.124817,189.314819
228.696991,408.420654,892.725159,22.571684,420.188263,891.864624,183.441055,194.14119,892.040466,6.530364,229.463104,871.916504,240.169266,178.21225,456.915039,209.020111,205.365051,100.702934,-4.721975,312.827423,416.168243,24.588306,634.850342,195.795517
229.773819,396.118835,894.46106,23.748774,408.812103,891.766113,183.72905,182.091782,893.239746,6.858127,217.914734,873.362244,241.03717,172.601974,456.400787,209.039291,205.010315,100.726044,-5.245078,290.333435,416.202728,23.773233,615.939392,201.756302
