XHIP1,YHIP1,ZHIP1,XHIP2,YHIP2,ZHIP2,XHIP3,YHIP3,ZHIP3,XRightThigh1,YRightThigh1,ZRightThigh1,XRightThigh3,YRightThigh3,ZRightThigh3,XLeftThigh1,YLeftThigh1,ZLeftThigh1,XLeftThigh3,YLeftThigh3,ZLeftThigh3,XLKNEE,YLKNEE,ZLKNEE,XLANK,YLANK,ZLANK,XLeftTibia3,YLeftTibia3,ZLeftTibia3,XRKNEE,YRKNEE,ZRKNEE,XRANK,YRANK,ZRANK,XRightTibia3,YRightTibia3,ZRightTibia3
23.222069,1693.761719,890.977905,-177.943451,1643.599487,884.41687,-115.500725,1462.286499,862.961182,-193.785477,1449.420044,724.234131,-205.761124,1559.328735,756.004578,104.907051,1646.451538,779.041931,122.914566,1577.812988,671.612427,-149.418289,1379.156372,563.327332,-161.476456,1388.904785,238.092514,-161.250977,1372.029053,466.163544,85.789459,1555.148071,524.971313,80.916473,1665.726685,212.617737,88.621643,1589.405518,419.873291
22.220652,1686.58374,890.7547,-178.71698,1635.463623,883.806274,-115.334053,1454.463745,861.877563,-193.337463,1441.844238,722.583069,-205.88237,1551.474976,755.11261,104.285484,1640.176758,778.755371,122.421173,1572.288574,670.815796,-148.256119,1373.300781,561.478333,-161.434723,1377.347534,236.878189,-160.379684,1365.741821,465.10022,85.382751,1550.878052,524.017883,80.516739,1663.884155,212.225143,88.125824,1585.99707,419.087097
21.204184,1679.241943,890.552307,-179.504959,1627.132202,883.204529,-115.141426,1446.449463,860.849731,-192.769043,1434.016479,720.901855,-205.964645,1543.367432,754.22821,103.641541,1633.701416,778.4823,121.890083,1566.5271,670.044128,-147.032608,1367.149536,559.454529,-161.460083,1366.984741,235.616867,-159.570328,1359.421631,463.759644,84.976906,1546.282227,523.093384,80.127182,1661.80127,211.918793,87.606377,1582.241577,418.326965
20.180727,1671.742188,890.37854,-180.301773,1618.631714,882.627197,-114.942566,1438.262085,859.895081,-192.112564,1425.960571,719.232361,-206.016327,1535.038452,753.370911,102.976212,1627.018921,778.227783,121.315559,1560.506714,669.309448,-145.78688,1360.676514,557.318054,-161.546539,1357.769287,234.297852,-158.844025,1353.029785,462.184235,84.570251,1541.313354,522.209656,79.75322,1659.444946,211.725403,87.06353,1578.079224,417.602203
19.158787,1664.091797,890.241638,-181.101669,1609.992065,882.091736,-114.759262,1429.922607,859.032104,-191.406616,1417.709229,717.61676,-206.048111,1526.526733,752.562256,102.290306,1620.122192,777.996826,120.691795,1554.20459,668.623657,-144.566528,1353.880127,555.133972,-161.687973,1349.628174,232.924759,-158.222427,1346.540161,460.42865,84.160873,1535.922607,521.378845,79.400208,1656.779663,211.674698,86.497421,1573.446411,416.922668
18.14694,1656.299927,890.149658,-181.899246,1601.245972,881.617065,-114.614769,1421.454468,858.279907,-190.695007,1409.303101,716.095337,-206.0728,1517.874512,751.825439,101.584328,1613.005859,777.794617,120.013344,1547.598511,667.999084,-143.425873,1346.783325,552.969543,-161.878311,1342.464478,231.515564,-157.726547,1339.941528,458.558228,83.746979,1530.061035,520.613831,79.073174,1653.767944,211.798782,85.908661,1568.276733,416.298157
17.153444,1648.377075,890.110291,-182.689804,1592.428467,881.222168,-114.53286,1412.883667,857.656921,-190.024933,1400.78894,714.7052,-206.104782,1509.128052,751.184326,100.858475,1605.666626,777.626038,119.275543,1540.667969,667.447449,-142.423141,1339.429199,550.892517,-162.111816,1336.162598,230.100891,-157.375015,1333.237549,456.646149,83.327454,1523.681641,519.927734,78.77684,1650.372192,212.13147,85.299042,1562.50415,415.738525
16.18585,1640.334717,890.130615,-183.469543,1583.574707,880.925842,-114.53688,1404.237183,857.180359,-189.44458,1392.217407,713.479126,-206.159393,1500.335449,750.662048,100.112602,1598.102173,777.495667,118.47525,1533.394897,666.979797,-141.615616,1331.876587,548.969482,-162.383087,1330.597168,228.719589,-157.182129,1326.446533,454.768066,82.902596,1516.740967,519.333557,78.515572,1646.555908,212.707214,84.672546,1556.06543,415.253235
15.250678,1632.185425,890.216431,-184.235916,1574.719604,880.744873,-114.648796,1395.542114,856.864685,-189.000137,1383.639771,712.442688,-206.251968,1491.543579,750.279236,99.34639,1590.313599,777.407715,117.611443,1525.764526,666.606262,-141.053696,1324.194092,547.261292,-162.686981,1325.642334,227.413345,-157.155579,1319.600586,452.995331,82.474838,1509.201538,518.843628,78.293533,1642.285034,213.560013,84.036255,1548.902466,414.851196
14.353136,1623.942749,890.371582,-184.987701,1565.895874,880.693115,-114.888206,1386.825439,856.720825,-188.732147,1375.106445,711.613342,-206.396896,1482.796997,750.052856,98.559509,1582.303345,777.365234,116.685982,1517.766846,666.33606,-140.774414,1316.453247,545.817444,-163.018219,1321.182495,226.22023,-157.294922,1312.74292,451.387268,82.04953,1501.033691,518.46991,78.114677,1637.530029,214.721725,83.401245,1540.967773,414.540527
